enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NTD2CMP_rev	cplx_HOMODIMER_IMPA1	0	pc	NTD2CMP	2cmp_c + h2o_c <-- cytd_c + pi_c
enzyme_NTD2CMP_rev	cplx_HOMODIMER_IMPA2	0	pc	NTD2CMP	2cmp_c + h2o_c <-- cytd_c + pi_c
enzyme_NTD2CMP_rev	cplx_HOMODIMER_NT5C	0	pc	NTD2CMP	2cmp_c + h2o_c <-- cytd_c + pi_c
enzyme_NTD2GMP_fwd	cplx_HOMODIMER_IMPA1	146786.74703192044	pc	NTD2GMP	2gmp_c + h2o_c --> gsn_c + pi_c
enzyme_NTD2GMP_fwd	cplx_HOMODIMER_IMPA2	150911.66004956016	pc	NTD2GMP	2gmp_c + h2o_c --> gsn_c + pi_c
enzyme_NTD2GMP_fwd	cplx_HOMODIMER_NT5C	121204.48534555783	pc	NTD2GMP	2gmp_c + h2o_c --> gsn_c + pi_c
enzyme_NTD2GMP_rev	cplx_HOMODIMER_IMPA1	0	pc	NTD2GMP	2gmp_c + h2o_c <-- gsn_c + pi_c
enzyme_NTD2GMP_rev	cplx_HOMODIMER_IMPA2	0	pc	NTD2GMP	2gmp_c + h2o_c <-- gsn_c + pi_c
enzyme_NTD2GMP_rev	cplx_HOMODIMER_NT5C	0	pc	NTD2GMP	2gmp_c + h2o_c <-- gsn_c + pi_c
enzyme_NTD2UMP_fwd	cplx_HOMODIMER_IMPA1	146786.74703192044	pc	NTD2UMP	2ump_c + h2o_c --> pi_c + uri_c
enzyme_NTD2UMP_fwd	cplx_HOMODIMER_IMPA2	150911.66004956016	pc	NTD2UMP	2ump_c + h2o_c --> pi_c + uri_c
enzyme_NTD2UMP_fwd	cplx_HOMODIMER_NT5C	121204.48534555783	pc	NTD2UMP	2ump_c + h2o_c --> pi_c + uri_c
enzyme_NTD2UMP_rev	cplx_HOMODIMER_IMPA1	0	pc	NTD2UMP	2ump_c + h2o_c <-- pi_c + uri_c
enzyme_NTD2UMP_rev	cplx_HOMODIMER_IMPA2	0	pc	NTD2UMP	2ump_c + h2o_c <-- pi_c + uri_c
enzyme_NTD2UMP_rev	cplx_HOMODIMER_NT5C	0	pc	NTD2UMP	2ump_c + h2o_c <-- pi_c + uri_c
