	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
410	MGST2	2.5.1.18	Q99735	2.-.-.-	Transferases	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups	glutathione transferase	glutathione S-alkyltransferase;glutathione S-aralkyltransferase;glutathione S-aryltransferase;S-(hydroxyalkyl)glutathione lyase	glutathione + RX = a halide anion + an S-substituted glutathione + H(+)	-!- A group of enzymes of broad specificity;-!- R may be an aliphatic, aromatic or heterocyclic group; X may be a;    sulfate, nitrile or halide group;-!- Also catalyzes the addition of aliphatic epoxides and arene oxides to;    glutathione, the reduction of polyol nitrate by glutathione to polyol;    and nitrile, certain isomerization reactions and disulfide;    interchange;-!- Formerly EC 1.8.6.1, EC 2.5.1.12, EC 2.5.1.13, EC 2.5.1.14 and;    EC 4.4.1.7
411	MGST2	4.4.1.20	Q99735	4.-.-.-	Lyases	4.4.-.-	Carbon-sulfur lyases	4.4.1.-	Carbon-sulfur lyases	leukotriene-C4 synthase	leukotriene A4:glutathione S-leukotrienyltransferase;leukotriene C4 synthetase;LTC4 synthase;LTC4 synthetase	leukotriene C4 = glutathione + leukotriene A4	-!- The reaction proceeds in the direction of addition;-!- Not identical with EC 2.5.1.18;-!- Formerly EC 2.5.1.37
412	MIF	5.3.2.1	P14174	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.2.-	Interconverting keto- and enol-groups	phenylpyruvate tautomerase	phenylpyruvate keto--enol tautomerase;phenylpyruvic keto--enol isomerase	3-phenylpyruvate = enol-phenylpyruvate	-!- Also acts on other arylpyruvates
413	MIF	5.3.3.12	P14174	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.3.-	Transposing C=C bonds	L-dopachrome isomerase	DCF;DCT;dopachrome conversion factor;dopachrome Delta(7),Delta(2)-isomerase;dopachrome Delta-isomerase;dopachrome isomerase;dopachrome keto-enol isomerase;dopachrome oxidoreductase;dopachrome rearranging enzyme;dopachrome tautomerase;L-dopachrome-methyl ester tautomerase;TRP;tyrosinase-related protein 2	L-dopachrome = 5,6-dihydroxyindole-2-carboxylate	-!- Stereospecific for L-dopachrome (5,6-dioxo-2,3-5,6-tetrahydroindole-;    2-carboxylate);-!- Dopachrome methyl ester is a substrate, but dopaminochrome (2,3-;    dihydroxyindolyl-5,6-quinone) is not (see also EC 4.1.1.84)
414	MINPP1	3.1.3.62	Q9UNW1	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	multiple inositol-polyphosphate phosphatase	MIPP;phytase	(1) 1D-myo-inositol hexakisphosphate + H2O = 1D-myo-inositol 1,2,4,5,6-;pentakisphosphate + phosphate;(2) 1D-myo-inositol 1,2,4,5,6-pentakisphosphate + H2O = 1D-myo-inositol;1,2,5,6-tetrakisphosphate + phosphate;(3) 1D-myo-inositol 1,2,5,6-tetrakisphosphate + H2O = 1D-myo-inositol;1,2,6-trisphosphate + phosphate;(4) 1D-myo-inositol 1,2,6-trisphosphate + H2O = 1D-myo-inositol 1,2-;bisphosphate + phosphate;(5) 1D-myo-inositol 1,2-bisphosphate + H2O = 1D-myo-inositol 2-phosphate;+ phosphate	-!- This ubiquitous enzyme degrades myo-inositol hexakisphosphate;    (phytate) to Ins(2,3)P2 and Ins(2)P;-!- Activities have been characterized in the yeast Saccharomyces;    cerevisiae, the plant Lupinus albus and the bacteria Bacillus sp. and;    Raoultella terrigena;-!- In mammal cells Ins(2,3)P2 and Ins(2)P are the major inositol;    phosphate compounds found;-!- The mammal enzyme is also active on Ins(1,3,4,5,6)P5 that is;    dephosphorylated to Ins(1,4,5,6)P4 and Ins(1,4,5)P3, and on 2,3-;    bisphospho-D-glycerate (cf. EC 3.1.3.80);-!- In addition, it acts on Ins(1,3,4,5)P4 to yield Ins(1,4,5)P3 in vitro;    (cf. EC 3.1.3.67);-!- It does not hydrolyze phosphates from the 2-positions of inositol;    phosphates;-!- In other organisms the degradation of phytate follows different;    routes. (cf. EC 3.1.3.8, EC 3.1.3.26, and EC 3.1.3.72)
415	MINPP1	3.1.3.80	Q9UNW1	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	2,3-bisphosphoglycerate 3-phosphatase	2,3-BPG 3-phosphatase	(2R)-2,3-bisphosphoglycerate + H2O = (2R)-2-phosphoglycerate + phosphate	-!- This reaction is a shortcut in the Rapoport-Luebering shunt;-!- It bypasses the reactions of EC 5.4.2.11/EC 5.4.2.12 and directly;    forms 2-phospho-Dglycerate by removing the 3-phospho-group of 2,3-;    diphospho-Dglycerate;-!- The MIPP1 protein also catalyzes the reaction of EC 3.1.3.62
416	MPI	5.3.1.8	P34949	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.1.-	Interconverting aldoses and ketoses	mannose-6-phosphate isomerase	phosphohexoisomerase;phosphohexomutase;phosphomannoisomerase;phosphomannose isomerase	D-mannose 6-phosphate = D-fructose 6-phosphate	
417	MPST	2.8.1.2	P25325	2.-.-.-	Transferases	2.8.-.-	Transferring sulfur-containing groups	2.8.1.-	Sulfurtransferases	3-mercaptopyruvate sulfurtransferase		2-oxo-3-sulfanylpropanoate + [thioredoxin]-dithiol = [thioredoxin]-;disulfide + H(+) + hydrogen sulfide + pyruvate	-!- The enzyme catalyzes a transsulfuration reaction from;    3-mercaptopyruvate to an internal cysteine residue;-!- In the presence of a dithiol such as reduced thioredoxin or;    dihydrolipoate, the sulfanyl sulfur is released as hydrogen sulfide;-!- The enzyme participates in a sulfur relay process that leads to the;    2-thiolation of some tRNAs and to protein urmylation by transferring;    sulfur between the NFS1 cysteine desulfurase (EC 2.8.1.7) and the;    MOCS3 sulfurtransferase (EC 2.8.1.11)
418	MRI1	5.3.1.23	Q9BV20	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.1.-	Interconverting aldoses and ketoses	S-methyl-5-thioribose-1-phosphate isomerase	1-phospho-5'-S-methylthioribose isomerase;1-PMTR isomerase;5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase;5-methylthioribose-1-phosphate isomerase;methylthioribose 1-phosphate isomerase;MTR-1-P isomerase;S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate aldose-ketose-isomerase;S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate ketol-isomerase;S-methyl-5-thio-D-ribose-1-phosphate aldose-ketose-isomerase	S-methyl-5-thio-alpha-D-ribose 1-phosphate = S-methyl-5-thio-D-ribulose;1-phosphate	
419	MTAP	2.4.2.28	Q13126	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.2.-	Pentosyltransferases	S-methyl-5'-thioadenosine phosphorylase	5'-deoxy-5'-methylthioadenosine phosphorylase;5'-methylthioadenosine phosphorylase;MeSAdo/Ado phosphorylase;MeSAdo phosphorylase;methylthioadenosine nucleoside phosphorylase;methylthioadenosine phosphorylase;MTAPase;MTA phosphorylase	phosphate + S-methyl-5'-thioadenosine = adenine + S-methyl-5-thio-alpha-;D-ribose 1-phosphate	-!- Also acts on 5'-deoxyadenosine and other analogs having 5'-deoxy;    groups
420	MTHFD1	1.5.1.5	P11586	1.-.-.-	Oxidoreductases	1.5.-.-	Acting on the CH-NH group of donors	1.5.1.-	With NAD(+) or NADP(+) as acceptor	methylenetetrahydrofolate dehydrogenase (NADP(+))		(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + NADP(+) = (6R)-5,10-;methenyltetrahydrofolate + NADPH	
421	MTHFD1	3.5.4.9	P11586	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.4.-	In cyclic amidines	methenyltetrahydrofolate cyclohydrolase		(6R)-5,10-methenyltetrahydrofolate + H2O = (6R)-10-formyltetrahydrofolate;+ H(+)	
422	MTHFD1	6.3.4.3	P11586	6.-.-.-	Ligases	6.3.-.-	Forming carbon-nitrogen bonds	6.3.4.-	Other carbon--nitrogen ligases	formate--tetrahydrofolate ligase	formyltetrahydrofolate synthetase;tetrahydrofolate formylase;tetrahydrofolic formylase	(6S)-5,6,7,8-tetrahydrofolate + ATP + formate = (6R)-10-;formyltetrahydrofolate + ADP + phosphate	-!- In eukaryotes occurs as a trifunctional enzyme also having EC 1.5.1.5;    and EC 3.5.4.9 activity
423	MTM1	3.1.3.64	Q13496	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	phosphatidylinositol-3-phosphatase	D-myo-inositol-1,3-bisphosphate 3-phosphohydrolase;inositol-1,3-bisphosphate 3-phosphatase;inositol 1,3-bisphosphate phosphatase;inositol-polyphosphate 3-phosphatase;phosphatidyl-3-phosphate 3-phosphohydrolase	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate) + H2O =;a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol) + phosphate	-!- This enzyme still works when the 2,3-bis(acyloxy)propyl group is;    removed, i.e., it hydrolyzes Ins(1,3)P2 to Ins-1-P;-!- Formerly EC 3.1.3.65
424	MTM1	3.1.3.95	Q13496	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	phosphatidylinositol-3,5-bisphosphate 3-phosphatase	PtdIns-3,5-P2 3-Ptase	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3,5-bisphosphate) +;H2O = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-5-phosphate) +;phosphate	-!- The enzyme is found in both plants and animals;-!- It also has the activity of EC 3.1.3.64
425	MVD	4.1.1.33	P53602	4.-.-.-	Lyases	4.1.-.-	Carbon-carbon lyases	4.1.1.-	Carboxy-lyases	diphosphomevalonate decarboxylase	mevalonate diphosphate decarboxylase;mevalonate pyrophosphate decarboxylase	(R)-5-diphosphomevalonate + ATP = ADP + CO2 + isopentenyl diphosphate +;phosphate	
426	NADK2	2.7.1.23	Q4G0N4	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	NAD(+) kinase	DPN kinase	ATP + NAD(+) = ADP + H(+) + NADP(+)	
427	NADSYN1	6.3.5.1	Q6IA69	6.-.-.-	Ligases	6.3.-.-	Forming carbon-nitrogen bonds	6.3.5.-	Carbon--nitrogen ligases with glutamine as amido-N-donor	NAD(+) synthase (glutamine-hydrolyzing)	NAD(+) synthetase (glutamine-hydrolyzing);nicotinamide adenine dinucleotide synthetase (glutamine)	ATP + deamido-NAD(+) + H2O + L-glutamine = AMP + diphosphate + H(+) +;L-glutamate + NAD(+)	-!- NH3 can act instead of glutamine (cf. EC 6.3.1.5)
428	NAGK	2.7.1.59	Q9UJ70	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	N-acetylglucosamine kinase	GlcNAc kinase	ATP + N-acetyl-D-glucosamine = ADP + H(+) + N-acetyl-D-glucosamine;6-phosphate	-!- The bacterial enzyme also acts on D-glucose
429	NAGK	2.7.1.60	Q9UJ70	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	N-acylmannosamine kinase		an N-acyl-D-mannosamine + ATP = ADP + an N-acyl-D-mannosamine 6-phosphate;+ H(+)	-!- Acts on the acetyl and glycolyl derivatives
430	NAMPT	2.4.2.12	P43490	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.2.-	Pentosyltransferases	nicotinamide phosphoribosyltransferase	NMN diphosphorylase;NMN pyrophosphorylase	beta-nicotinamide D-ribonucleotide + diphosphate = 5-phospho-alpha-D-;ribose 1-diphosphate + H(+) + nicotinamide	
431	NANP	3.1.3.29	Q8TBE9	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	N-acylneuraminate-9-phosphatase		an N-acylneuraminate 9-phosphate + H2O = an N-acylneuraminate +;phosphate	
432	NANS	2.5.1.56	Q9NR45	2.-.-.-	Transferases	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups	N-acetylneuraminate synthase	(NANA)condensing enzyme;N-acetylneuraminate pyruvate-lyase (pyruvate-phosphorylating);N-acetylneuraminic acid synthase;NeuAc synthase	H2O + N-acetyl-D-mannosamine + phosphoenolpyruvate = N-acetylneuraminate;+ phosphate	-!- Formerly EC 4.1.3.19
433	NANS	2.5.1.57	Q9NR45	2.-.-.-	Transferases	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups	N-acylneuraminate-9-phosphate synthase	N-acetylneuraminate 9-phosphate lyase;N-acetylneuraminate 9-phosphate sialic acid 9-phosphate synthase;N-acetylneuraminate 9-phosphate synthetase;N-acylneuraminate-9-phosphate pyruvate-lyase (pyruvate-phosphorylating);sialic acid 9-phosphate synthetase	an N-acyl-D-mannosamine 6-phosphate + H2O + phosphoenolpyruvate =;an N-acylneuraminate 9-phosphate + phosphate	-!- Acts on N-glycoloyl and N-acetyl-derivatives;-!- Formerly EC 4.1.3.20
434	NAPEPLD	3.1.4.54	Q6IQ20	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.4.-	Phosphoric diester hydrolases	N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D	anandamide-generating phospholipase D;N-acyl phosphatidylethanolamine phospholipase D	H2O + N-acyl-1,2-diacyl-sn-glycero-3-phosphoethanolamine = a 1,2-diacyl-;sn-glycero-3-phosphate + an N-acylethanolamine + H(+)	-!- This enzyme is involved in the biosynthesis of anandamide;-!- It does not hydrolyze phosphatidylcholine and;    phosphatidylethanolamine;-!- No transphosphatidation
435	NAPRT	6.3.4.21	Q6XQN6	6.-.-.-	Ligases	6.3.-.-	Forming carbon-nitrogen bonds	6.3.4.-	Other carbon--nitrogen ligases	nicotinate phosphoribosyltransferase	niacin ribonucleotidase;nicotinic acid mononucleotide glycohydrolase;nicotinic acid mononucleotide pyrophosphorylase;nicotinic acid phosphoribosyltransferase	5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O + nicotinate = ADP +;diphosphate + nicotinate beta-D-ribonucleotide + phosphate	-!- The enzyme, which is involved in pyridine nucleotide recycling,;    can form beta-nicotinate D-ribonucleotide and diphosphate from;    nicotinate and 5-phospho-alpha-D-ribose 1-diphosphate (PRPP) in the;    absence of ATP;-!- However, when ATP is available the enzyme is phosphorylated resulting;    in a much lower Km for nicotinate;-!- The phospho-enzyme is hydrolyzed during the transferase reaction,;    regenerating the low affinity form;-!- The presence of ATP shifts the products/substrates equilibrium from;    0.67 to 1100;-!- Formerly EC 2.4.2.11
436	NARS1	6.1.1.22	O43776	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	asparagine--tRNA ligase	asparagine translase;asparaginyl-tRNA synthetase	ATP + L-asparagine + tRNA(Asn) = AMP + diphosphate + H(+) +;L-asparaginyl-tRNA(Asn)	
437	NAXD	4.2.1.93	Q8IW45	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	ATP-dependent NAD(P)H-hydrate dehydratase	ATP-dependent H4NAD(P)OH dehydratase	(1) (6S)-NADHX + ATP = ADP + H(+) + NADH + phosphate;(2) (6S)-NADPHX + ATP = ADP + H(+) + NADPH + phosphate	-!- Acts equally well on hydrated NADH and hydrated NADPH;-!- NAD(P)H spontaneously hydrates to both the (6S)- and (6R)- isomers,;    and these are interconverted by EC 5.1.99.6, to a 60:40 ratio;-!- Hence EC 4.2.1.93 together with EC 5.1.99.6 can restore the mixture;    of hydrates into NAD(P)H;-!- The enzyme from eukaryotes has no activity with ADP, contrary to the;    enzyme from bacteria (cf. EC 4.2.1.136)
438	NAXE	5.1.99.6	Q8NCW5	5.-.-.-	Isomerases	5.1.-.-	Racemases and epimerases	5.1.99.-	Acting on other compounds	NAD(P)H-hydrate epimerase	NAD(P)HX epimerase	(1) (6R)-NADHX = (6S)-NADHX;(2) (6R)-NADPHX = (6S)-NADPHX	-!- The enzyme can use either (R)-NADH-hydrate or (R)-NADPH-hydrate as a;    substrate;-!- Its physiological role is to convert the (R) forms to the (S) forms,;    which could then be restored to active dinucleotides by EC 4.2.1.93
439	NCEH1	3.1.1.71	Q6PIU2	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.1.-	Carboxylic ester hydrolases	acetylalkylglycerol acetylhydrolase	alkylacetylglycerol acetylhydrolase	a 1-O-alkyl-2-acetyl-sn-glycerol + H2O = 1-O-alkyl-sn-glycerol + acetate;+ H(+)	-!- Hydrolysis of the acetyl group from the 1-alkyl-2-acetyl and 1-alkyl-;    3-acetyl substrates occurs at apparently identical rates;-!- Differs from EC 3.1.1.34 since 1,2-diacetyl-sn-glycerols are not;    substrates;-!- It also differs from EC 3.1.1.47
440	NIT1	3.5.1.128	Q86X76	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.1.-	In linear amides	deaminated glutathione amidase	dGSH deaminase	H2O + N-(4-oxoglutaryl)-L-cysteinylglycine = 2-oxoglutarate +;L-cysteinylglycine	-!- The enzyme, present in animals, fungi and bacteria, is involved in;    clearing cells of the toxic compound deaminated glutathione, which;    can be produced as an unwanted side product by several transaminases
441	NIT2	3.5.1.3	Q9NQR4	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.1.-	In linear amides	omega-amidase		a monoamide of a dicarboxylate + H2O = a dicarboxylate + NH4(+)	-!- Acts on glutaramate, succinamate and their 2-oxo derivatives
442	NME1	2.7.4.6	P15531	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-diphosphate kinase	NDK;nucleoside 5'-diphosphate phosphotransferase;nucleoside diphosphokinase	(1) a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside;5'-triphosphate + ADP;(2) a 2'-deoxyribonucleoside 5'-diphosphate + ATP =;a 2'-deoxyribonucleoside 5'-triphosphate + ADP	-!- Many nucleoside diphosphates can act as acceptors;-!- Many ribo- and deoxyribonucleoside triphosphates can act as donors
443	NME2	2.7.13.3	P22392	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.13.-	Protein-histidine kinases	histidine kinase	histidine protein kinase;HK1;protein histidine kinase;protein kinase;protein kinase (histidine)	ATP + protein L-histidine = ADP + protein N-phospho-L-histidine	-!- This entry has been included to accommodate those protein-histidine;    kinases for which the phosphorylation site has not been established;    (i.e. either the pros- or tele-nitrogen of histidine);-!- A number of histones can act as acceptor
444	NME2	2.7.4.6	P22392	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-diphosphate kinase	NDK;nucleoside 5'-diphosphate phosphotransferase;nucleoside diphosphokinase	(1) a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside;5'-triphosphate + ADP;(2) a 2'-deoxyribonucleoside 5'-diphosphate + ATP =;a 2'-deoxyribonucleoside 5'-triphosphate + ADP	-!- Many nucleoside diphosphates can act as acceptors;-!- Many ribo- and deoxyribonucleoside triphosphates can act as donors
445	NME3	2.7.4.6	Q13232	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-diphosphate kinase	NDK;nucleoside 5'-diphosphate phosphotransferase;nucleoside diphosphokinase	(1) a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside;5'-triphosphate + ADP;(2) a 2'-deoxyribonucleoside 5'-diphosphate + ATP =;a 2'-deoxyribonucleoside 5'-triphosphate + ADP	-!- Many nucleoside diphosphates can act as acceptors;-!- Many ribo- and deoxyribonucleoside triphosphates can act as donors
446	NMNAT3	2.7.7.1	Q96T66	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.7.-	Nucleotidyltransferases	nicotinamide-nucleotide adenylyltransferase	adenosine triphosphate-nicotinamide mononucleotide transadenylase;diphosphopyridine nucleotide pyrophosphorylase;NAD(+) diphosphorylase;NAD(+) pyrophosphorylase;nicotinamide adenine dinucleotide pyrophosphorylase;nicotinamide mononucleotide adenylyltransferase;NMN adenylyltransferase;NMNAT	ATP + beta-nicotinamide D-ribonucleotide + H(+) = diphosphate + NAD(+)	-!- Nicotinate nucleotide can also act as acceptor;-!- See also EC 2.7.7.18
447	NMNAT3	2.7.7.18	Q96T66	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.7.-	Nucleotidyltransferases	nicotinate-nucleotide adenylyltransferase	Deamido-NAD(+) diphosphorylase;deamido-NAD(+) pyrophosphorylase	ATP + H(+) + nicotinate beta-D-ribonucleotide = deamido-NAD(+) +;diphosphate	
448	NOS3	1.14.13.39	P29474	1.-.-.-	Oxidoreductases	1.14.-.-	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom of oxygen	nitric-oxide synthase (NADPH)	endothelium-derived relaxation factor-forming enzyme;endothelium-derived relaxing factor synthase;NADPH-diaphorase;nitric-oxide synthetase;NO synthase	H(+) + 2 L-arginine + 3 NADPH + 4 O2 = 4 H2O + 2 L-citrulline + 3 NADP(+);+ 2 nitric oxide	-!- The enzyme consists of linked oxygenase and reductase domains;-!- The eukaryotic enzyme binds FAD, FMN, heme (iron protoporphyrin IX);    and tetrahydrobiopterin, and its two domains are linked via a;    regulatory calmodulin-binding domain;-!- Upon calcium-induced calmodulin binding, the reductase and oxygenase;    domains form a complex, allowing electrons to flow from NADPH via FAD;    and FMN to the active center;-!- The reductase domain of the enzyme from the bacterium Sorangium;    cellulosum utilizes a [2Fe-2S] cluster to transfer the electrons from;    NADPH to the active center. cf. EC 1.14.14.47
