enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADRNLQ1ERx_L_rev	cplx_MONOMER_CYB5R3	0	pc	ADRNLQ1ERx_L	2.0 adrnlqn__L_c + h_c + nadh_c <-- 2.0 adrnlsqn__L_c + nad_c
enzyme_ADRNLQ2ERy_L_fwd	cplx_MONOMER_CBR1	87716.47044181285	pc	ADRNLQ2ERy_L	adrnlqn__L_c + h_c + nadph_c --> adrnl__L_c + nadp_c
enzyme_ADRNLQ2ERy_L_fwd	cplx_MONOMER_CBR3	88728.64292169764	pc	ADRNLQ2ERy_L	adrnlqn__L_c + h_c + nadph_c --> adrnl__L_c + nadp_c
enzyme_ADRNLQ2ERy_L_rev	cplx_MONOMER_CBR1	0	pc	ADRNLQ2ERy_L	adrnlqn__L_c + h_c + nadph_c <-- adrnl__L_c + nadp_c
enzyme_ADRNLQ2ERy_L_rev	cplx_MONOMER_CBR3	0	pc	ADRNLQ2ERy_L	adrnlqn__L_c + h_c + nadph_c <-- adrnl__L_c + nadp_c
enzyme_ADRNLQ2ERz_L_fwd	cplx_HOMODIMER_NQO2	130945.97503148265	pc	ADRNLQ2ERz_L	adrnlqn__L_c + h_c + rnamh_c --> adrnl__L_c + rnam_c
enzyme_ADRNLQ2ERz_L_rev	cplx_HOMODIMER_NQO2	0	pc	ADRNLQ2ERz_L	adrnlqn__L_c + h_c + rnamh_c <-- adrnl__L_c + rnam_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTM1	130169.38152401421	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTM2	130294.03465289784	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTM3	133364.1922986716	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTM4	129586.12801496696	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTM5	130036.20261671975	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTO1	137151.7797761819	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTP1	121112.4792597154	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMODIMER_GSTT1	136293.14678239185	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_HOMOTRIMER_MGST2	127246.43194235222	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_fwd	cplx_MONOMER_LANCL1	118339.28961154442	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c --> 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTM1	130169.38152401421	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTM2	130294.03465289784	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTM3	133364.1922986716	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTM4	129586.12801496696	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTM5	130036.20261671975	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTO1	137151.7797761819	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTP1	121112.4792597154	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMODIMER_GSTT1	136293.14678239185	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_HOMOTRIMER_MGST2	127246.43194235222	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADRNLQGST_L_rev	cplx_MONOMER_LANCL1	118339.28961154442	pc	ADRNLQGST_L	adrnlqn__L_c + gthrd_c <-- 5sgthadrnl__L_c
enzyme_ADSL1_fwd	cplx_HOMOTETRAMER_ADSL	386643.84524188435	pc	ADSL1	succamp_c --> amp_c + fum_c
enzyme_ADSL1_rev	cplx_HOMOTETRAMER_ADSL	386643.84524188435	pc	ADSL1	succamp_c <-- amp_c + fum_c
enzyme_ADSL2_fwd	cplx_HOMOTETRAMER_ADSL	386643.84524188435	pc	ADSL2	saicar_c --> aicar_c + fum_c
enzyme_ADSL2_rev	cplx_HOMOTETRAMER_ADSL	386643.84524188435	pc	ADSL2	saicar_c <-- aicar_c + fum_c
enzyme_ADSS_fwd	cplx_HOMODIMER_ADSS2	214669.09930908692	pc	ADSS	asp__L_c + gtp_c + imp_c --> gdp_c + 2.0 h_c + pi_c + succamp_c
enzyme_ADSS_rev	cplx_HOMODIMER_ADSS2	0	pc	ADSS	asp__L_c + gtp_c + imp_c <-- gdp_c + 2.0 h_c + pi_c + succamp_c
enzyme_AG1tec_fwd	cplx_HOMOTRIMER_SLC31A1	152074.19539116876	pc	AG1tec	ag1_e --> ag1_c
enzyme_AG1tec_rev	cplx_HOMOTRIMER_SLC31A1	0	pc	AG1tec	ag1_e <-- ag1_c
enzyme_AGDC_fwd	cplx_MONOMER_AMDHD2	115299.49351138443	pc	AGDC	acgam6p_c + h2o_c --> ac_c + gam6p_c
enzyme_AGDC_rev	cplx_MONOMER_AMDHD2	0	pc	AGDC	acgam6p_c + h2o_c <-- ac_c + gam6p_c
enzyme_AHC_fwd	cplx_HOMOTETRAMER_AHCY	348063.05902243825	pc	AHC	ahcys__L_c + h2o_c --> adn_c + hcys__L_c
enzyme_AHC_rev	cplx_HOMOTETRAMER_AHCY	348063.05902243825	pc	AHC	ahcys__L_c + h2o_c <-- adn_c + hcys__L_c
enzyme_AHDTPPPH_fwd	cplx_HOMODIMER_ALPL	237425.07069280717	pc	AHDTPPPH	ahdt_c + 3.0 h2o_c --> dhnpt_c + 2.0 h_c + 3.0 pi_c
enzyme_AHDTPPPH_rev	cplx_HOMODIMER_ALPL	0	pc	AHDTPPPH	ahdt_c + 3.0 h2o_c <-- dhnpt_c + 2.0 h_c + 3.0 pi_c
enzyme_AICAK_fwd	cplx_MONOMER_ADK	108914.64214797036	pc	AICAK	aica_c + atp_c --> adp_c + aicar_c + h_c
enzyme_AICAK_rev	cplx_MONOMER_ADK	0	pc	AICAK	aica_c + atp_c <-- adp_c + aicar_c + h_c
enzyme_AICART_fwd	cplx_HOMODIMER_ATIC	259814.6485632835	pc	AICART	10fthf_c + aicar_c --> fprica_c + thf_c
enzyme_AICART_rev	cplx_HOMODIMER_ATIC	0	pc	AICART	10fthf_c + aicar_c <-- fprica_c + thf_c
enzyme_AICAt_fwd	cplx_MONOMER_SLC29A1	127893.58748395396	pc	AICAt	aica_c --> aica_e
enzyme_AICAt_rev	cplx_MONOMER_SLC29A1	127893.58748395396	pc	AICAt	aica_c <-- aica_e
enzyme_AICRT_fwd	cplx_HOMODIMER_APRT	106223.87074438689	pc	AICRT	aic_c + prpp_c --> aicar_c + ppi_c
enzyme_AICRT_rev	cplx_HOMODIMER_APRT	0	pc	AICRT	aic_c + prpp_c <-- aicar_c + ppi_c
enzyme_AICt_fwd	cplx_MONOMER_SLC43A3	136042.29702370602	pc	AICt	aic_c --> aic_e
